Cycle: 5  cd16  2 nM_X	Cycle: 5  cd16  2 nM_Y	Fitted Cycle: 5  cd16  2 nM_X	Fitted Cycle: 5  cd16  2 nM_Y	Cycle: 6  cd16  4 nM_X	Cycle: 6  cd16  4 nM_Y	Fitted Cycle: 6  cd16  4 nM_X	Fitted Cycle: 6  cd16  4 nM_Y	Cycle: 7  cd16  8 nM_X	Cycle: 7  cd16  8 nM_Y	Fitted Cycle: 7  cd16  8 nM_X	Fitted Cycle: 7  cd16  8 nM_Y	Cycle: 8  cd16  16 nM_X	Cycle: 8  cd16  16 nM_Y	Fitted Cycle: 8  cd16  16 nM_X	Fitted Cycle: 8  cd16  16 nM_Y	Cycle: 9  cd16  32 nM_X	Cycle: 9  cd16  32 nM_Y	Fitted Cycle: 9  cd16  32 nM_X	Fitted Cycle: 9  cd16  32 nM_Y	Cycle: 10  cd16  8 nM_X	Cycle: 10  cd16  8 nM_Y	Fitted Cycle: 10  cd16  8 nM_X	Fitted Cycle: 10  cd16  8 nM_Y
-59.96	-0.026001	-59.96	0	-60.06	0.0254312	-60.06	0	-59.96	0.0397339	-59.96	0	-59.96	0.0549927	-59.96	0	-59.96	0.0269775	-59.96	0	-59.96	0.0941772	-59.96	0
-59.86	-0.029256	-59.86	0	-59.96	0.0267334	-59.96	0	-59.86	0.0364789	-59.86	0	-59.86	0.0556439	-59.86	0	-59.86	0.0295819	-59.86	0	-59.86	0.0967816	-59.86	0
-59.76	-0.0227458	-59.76	0	-59.86	0.0234783	-59.86	0	-59.76	0.0429891	-59.76	0	-59.76	0.0543416	-59.76	0	-59.76	0.0360921	-59.76	0	-59.76	0.0935262	-59.76	0
-59.66	-0.0227458	-59.66	0	-59.76	0.0299886	-59.76	0	-59.66	0.0429891	-59.66	0	-59.66	0.0484823	-59.66	0	-59.66	0.0321859	-59.66	0	-59.66	0.0935262	-59.66	0
-59.56	-0.0214437	-59.56	0	-59.66	0.0299886	-59.66	0	-59.56	0.0442912	-59.56	0	-59.56	0.0536906	-59.56	0	-59.56	0.0276286	-59.56	0	-59.56	0.0948283	-59.56	0
-59.46	-0.0194906	-59.46	0	-59.56	0.0273845	-59.56	0	-59.46	0.0462443	-59.46	0	-59.46	0.0615031	-59.46	0	-59.46	0.0295817	-59.46	0	-59.46	0.0967814	-59.46	0
-59.36	-0.021057	-59.36	0	-59.46	0.0234782	-59.46	0	-59.36	0.0349122	-59.36	0	-59.36	0.0697022	-59.36	0	-59.36	0.0280152	-59.36	0	-59.36	0.0952149	-59.36	0
-59.26	-0.0168864	-59.26	0	-59.36	0.0219117	-59.36	0	-59.26	0.0488485	-59.26	0	-59.26	0.060201	-59.26	0	-59.26	0.0224202	-59.26	0	-59.26	0.0993856	-59.26	0
-59.16	-0.0149333	-59.16	0	-59.26	0.0260824	-59.26	0	-59.16	0.0449422	-59.16	0	-59.16	0.060201	-59.16	0	-59.16	0.0243734	-59.16	0	-59.16	0.105245	-59.16	0
-59.06	-0.0181886	-59.06	0	-59.16	0.0319417	-59.16	0	-59.06	0.0475462	-59.06	0	-59.06	0.062805	-59.06	0	-59.06	0.021118	-59.06	0	-59.06	0.103943	-59.06	0
