Cycle: 5  CD16  2 nM_X	Cycle: 5  CD16  2 nM_Y	Fitted Cycle: 5  CD16  2 nM_X	Fitted Cycle: 5  CD16  2 nM_Y	Cycle: 6  CD16  4 nM_X	Cycle: 6  CD16  4 nM_Y	Fitted Cycle: 6  CD16  4 nM_X	Fitted Cycle: 6  CD16  4 nM_Y	Cycle: 7  CD16  8 nM_X	Cycle: 7  CD16  8 nM_Y	Fitted Cycle: 7  CD16  8 nM_X	Fitted Cycle: 7  CD16  8 nM_Y	Cycle: 8  CD16  16 nM_X	Cycle: 8  CD16  16 nM_Y	Fitted Cycle: 8  CD16  16 nM_X	Fitted Cycle: 8  CD16  16 nM_Y	Cycle: 9  CD16  32 nM_X	Cycle: 9  CD16  32 nM_Y	Fitted Cycle: 9  CD16  32 nM_X	Fitted Cycle: 9  CD16  32 nM_Y	Cycle: 10  CD16  8 nM_X	Cycle: 10  CD16  8 nM_Y	Fitted Cycle: 10  CD16  8 nM_X	Fitted Cycle: 10  CD16  8 nM_Y
-59.96	-0.103353	-59.96	0	-59.96	-0.0712484	-59.96	0	-59.96	-0.0727132	-59.96	0	-59.96	-0.0993246	-59.96	0	-59.96	-0.111165	-59.96	0	-59.96	-0.0508626	-59.96	0
-59.86	-0.107992	-59.86	0	-59.86	-0.0673421	-59.86	0	-59.86	-0.0824789	-59.86	0	-59.86	-0.10909	-59.86	0	-59.86	-0.111165	-59.86	0	-59.86	-0.0606283	-59.86	0
-59.76	-0.111816	-59.76	0	-59.76	-0.0582275	-59.76	0	-59.76	-0.0792236	-59.76	0	-59.76	-0.105835	-59.76	0	-59.76	-0.104004	-59.76	0	-59.76	-0.0476074	-59.76	0
-59.66	-0.113118	-59.66	0	-59.66	-0.0595296	-59.66	0	-59.66	-0.0766195	-59.66	0	-59.66	-0.107137	-59.66	0	-59.66	-0.0994466	-59.66	0	-59.66	-0.0547689	-59.66	0
-59.56	-0.120199	-59.56	0	-59.56	-0.0712484	-59.56	0	-59.56	-0.0727132	-59.56	0	-59.56	-0.10909	-59.56	0	-59.56	-0.1014	-59.56	0	-59.56	-0.0508626	-59.56	0
-59.46	-0.113118	-59.46	0	-59.46	-0.0712484	-59.46	0	-59.46	-0.0766195	-59.46	0	-59.46	-0.105184	-59.46	0	-59.46	-0.111165	-59.46	0	-59.46	-0.0606283	-59.46	0
-59.36	-0.106608	-59.36	0	-59.36	-0.0647381	-59.36	0	-59.36	-0.0759686	-59.36	0	-59.36	-0.0928143	-59.36	0	-59.36	-0.104655	-59.36	0	-59.36	-0.054118	-59.36	0
-59.26	-0.10791	-59.26	0	-59.26	-0.06604	-59.26	0	-59.26	-0.0870361	-59.26	0	-59.26	-0.0941162	-59.26	0	-59.26	-0.105957	-59.26	0	-59.26	-0.0554199	-59.26	0
-59.16	-0.109863	-59.16	0	-59.16	-0.0679932	-59.16	0	-59.16	-0.0889893	-59.16	0	-59.16	-0.0960693	-59.16	0	-59.16	-0.119629	-59.16	0	-59.16	-0.0671387	-59.16	0
-59.06	-0.104655	-59.06	0	-59.06	-0.0686444	-59.06	0	-59.06	-0.0837811	-59.06	0	-59.06	-0.0908612	-59.06	0	-59.06	-0.114421	-59.06	0	-59.06	-0.0619305	-59.06	0
-58.96	-0.0994466	-58.96	0	-58.96	-0.0575765	-58.96	0	-58.96	-0.084432	-58.96	0	-58.96	-0.0954183	-58.96	0	-58.96	-0.105306	-58.96	0	-58.96	-0.056722	-58.96	0
-58.86	-0.100749	-58.86	0	-58.86	-0.0588785	-58.86	0	-58.86	-0.0798746	-58.86	0	-58.86	-0.0869547	-58.86	0	-58.86	-0.100749	-58.86	0	-58.86	-0.0619303	-58.86	0
-58.76	-0.0981445	-58.76	0	-58.76	-0.06604	-58.76	0	-58.76	-0.0772705	-58.76	0	-58.76	-0.0843506	-58.76	0	-58.76	-0.0981445	-58.76	0	-58.76	-0.0612793	-58.76	0
-58.66	-0.103353	-58.66	0	-58.66	-0.065389	-58.66	0	-58.66	-0.0766195	-58.66	0	-58.66	-0.0934652	-58.66	0	-58.66	-0.0974935	-58.66	0	-58.66	-0.0664876	-58.66	0
-58.56	-0.0994466	-58.56	0	-58.56	-0.0673421	-58.56	0	-58.56	-0.0785726	-58.56	0	-58.56	-0.0895589	-58.56	0	-58.56	-0.0994466	-58.56	0	-58.56	-0.0684408	-58.56	0
